case_id,year,month,day,country_id,iso3,country_name,region,city,location,location_latitude,location_longitude,location_accuracy,incident_type,perpetrator_type,organizational_affiliation,organizational_affiliation_2,loneactor_id,target_group,grouped_target_group,target_group_2,grouped_target_group_2,weapon_type,grouped_weapon_type,weapon_type_2,grouped_weapon_type_2,weapon_description,fatal,n_killed,n_wounded,description,plot_type,plot_targeting,plot_operational_planning,version
2013-6-15,2013,6,15,19,GBR,United Kingdom,England,Kilburn,Kilburn Welfare Social Club,53.00890313448912,-1.431786314994256,1,2,5,,,,104,Ethnic/religious minorities,,,500,Blunt instruments,600,Beating/kicking,"Fence post, pool cues, beating/kicking, fire",1,1,0,"A 48-year-old man from the traveling community was killed after being beaten with a pool cue and a large fence post. He was then dragged to a field and set on fire. A week earlier, the victim and his partner visited a bar where a bartender called him a derogatory slur, ""pikey."" After the woman was fired for this, the victim returned to the bar a week later with a friend, who left at 1:30 a.m. The victim remained, with relatives of the fired woman also present. It’s unclear where the attack began, but the victim was eventually dragged to a field, beaten further, and set alight. Three people—the woman's husband, daughter, and the daughter's partner—are accused of the murder, believed to be a revenge attack for the woman being fired a week before. The former bartender is charged with assisting them.",,,,2023
2013-6-17,2013,6,17,10,ITA,Italy,Campania,Afragola,m,40.923018043842134,14.30936011987404,2,2,5,,,,103,Ethnic/religious minorities,,,600,Beating/kicking,,,Beating/kicking,0,0,1,"A 31-year-old man from Burkina Faso was assaulted by two Italian men while biking home from work. The attackers approached him on a scooter, forced him off his bike, and proceeded to beat him severely. During the attack, they shouted racial slurs, including ""Get out of the way, you dirty n*****."" The victim sustained head and eye injuries, along with bruises and fractures across his body, and was hospitalized.",,,,2023
2013-6-21,2013,6,21,19,GBR,United Kingdom,England,Walsall,Aisha Mosque and Islamic Centre of Walsall,52.57692103247769,-1.9849884471288912,1,1,6,,,72,101,Ethnic/religious minorities,,,100,Explosives,,,Homemade explosive device,0,0,0,"The attack was one in a series against Muslims by the same perpetrator. A Ukrainian white supremacist placed a homemade explosive device outside a mosque during prayers on a Friday. He had taken the device with him on a bus and left the device with a timer before taking the bus back to Birmingham and buying a bottle of wine. About 150 people were evacuated from homes around the mosque, after bomb disposal experts were called to the scene. The device was packed in a children's lunchbox with a picture of a shark on it. The perpetrator was given a life sentence for murder and three attempted bombings of mosques [CaseID: 2013-4-29, 2013-6-28 and 2013-7-12]. He confessed to police that his motivation was to kill and harm non-whites.

",,,,2016
2013-6-23,2013,6,23,5,FRA,France,Nouvelle-Aquitaine,Agen,Avenue du Général-de-Gaulle,44.20618091057414,0.6116677583208492,1,2,2,Troisième voie (suspected),,,102,Ethnic/religious minorities,,,501,Blunt instruments,600,Beating/kicking,"Brass knuckles, baton, beating/kicking",0,0,2,"A group of seven youths, linked to extreme right-wing groups, attacked two young immigrant men after an anarcho-libertarian rock festival. The victims, both of Maghreb descent, were brutally beaten with weapons such as brass knuckles and a baton. During the assault, they were subjected to racial abuse. The victims sustained facial and back injuries. The perpetrators, suspected members of skinhead factions and with possible ties to the far-right group Troisième Voie, carried out the attack.",,,,2023
2013-6-24-1,2013,6,24,6,DEU,Germany,Berlin,Berlin,Schnellerstraße,52.45572748862848,13.512763498195266,1,2,6,,,666,102,Ethnic/religious minorities,,,500,Blunt instruments,,,Baseball bat,0,0,1,"A 51-year-old Turkish man was attacked by a 20-year-old drunk right-wing extremist. The victim was walking down the street when the perpetrator ambushed him and struck him in the head with a baseball bat. After the victim fell to the ground, the perpetrator hit him in the face again. The victim suffered a head laceration but declined hospital treatment, receiving on-site care from emergency workers. The perpetrator was arrested, making xenophobic statements to the police, complaining about immigrants and referring to his victim as a ""Southerner, Turkish."" One month earlier, the perpetrator had been involved in another violent incident on a tram, though this case did not meet inclusion criteria.",,,,2023
2013-6-24,2013,6,24,19,GBR,United Kingdom,Scotland,Glasgow,Queen's Park,55.831882847455184,-4.270567282713115,1,2,8,,,,102,Ethnic/religious minorities,,,400,Knives/bladed weapons and sharp objects,600,Beating/kicking,"Bladed weapon, Beating/kicking",0,0,1,"An Asian teenager was racially abused,  beaten and stabbed whilst he was walking in a park with two friends. His friends managed to escape, but the victim says he was surrounded by 15 people who punched and kicked him to the ground before he was stabbed. Due to the verbal abuse he recieved, he believes he was targeted after the murder of soldier Lee Rigby who was mudered previous month. The victim was taken to the hospital.",,,,2023
2013-6-28-1,2013,6,28,7,GRC,Greece,Peloponnese,Corinth,m,37.938926052324256,22.930998211866353,2,2,2,Golden Dawn,,,200,Political opponents,,,580,Blunt instruments,501,Blunt instruments,"Iron chain, brass knuckles",0,0,2,"While visiting a fair, two men associated with the local anti-fascist movement were attacked by four youths. The perpetrators were part of a group of about ten individuals wearing black t-shirts with the Golden Dawn party logo. The perpetrators assaulted the victims using iron chains and brass knuckles, inflicting serious injuries that required hospitalisation. The police arrested four Greek youths - three brothers aged 20, 19, and 18 years old, and a teenage boy aged 17 -  on charges of serious assault. ",,,,2023
2013-6-28,2013,6,28,19,GBR,United Kingdom,England,Wolverhampton,Wolverhampton Central Mosque,52.59624580498503,-2.1297192153796147,1,1,6,,,72,101,Ethnic/religious minorities,,,100,Explosives,,,Homemade explosive device,0,0,0,"The attack was one in a series against Muslims by the same perpetrator. A Ukrainian white supremacist placed a second homemade explosive device outside a mosque during prayers on a Friday. Officers were called to the scene after it had detonated, but they were not specialists and did not realise the significance of the type of debris. It was therefore not reported until after the other two bombings because police failed to recognise that a bomb had caused the debris. The perpetrator was given a life sentence for murder and three attempted bombings of mosques [CaseID: 2013-4-29, 2013-6-21 and 2013-7-12]. He confessed to police that his motivation was to kill and harm non-whites.

",,,,2016
2013-7-0,2013,7,0,19,GBR,United Kingdom,England,Blackwood,Monnington Lodge pub,51.66227400712543,-3.2028477730109484,1,2,6,Unknown,,594,101,Ethnic/religious minorities,,,504,Blunt instruments,600,Beating/kicking,Bottle and beating/kicking,0,0,1,"An Asian man was violently assaulted by a 38-year-old member of an alleged ""white pride"" group, at a pub in Blackwood in July 2013. The perpetrator, who had been drinking alone on the day of soldier Lee Rigby’s funeral, became enraged upon seeing the victim with a group that included white women. He verbally abused the victim and the women, calling them ""stupid"" for associating with ""terrorists"" and making racist remarks. When the pub manager, intervened, the perpetrator grabbed him, then struck him over the head with a glass bottle, almost severing his ear. Following the assault, police found racist images on the perpetrator's phone. He was convicted of racially aggravated wounding after denying the charges and claiming self-defense and was sentenced to five years in prison, with the judge condemning his actions as racially motivated and violent.
",,,,2023
2013-7-5,2013,7,5,19,GBR,United Kingdom,England,Uxbridge,Uxbridge Mosque ,51.53820775106703,-0.4838490306283181,1,2,6,,,593,101,Ethnic/religious minorities,,,600,Beating/kicking,,,Beatring/kicking,0,0,1,"A teenager assaulted a 79-year-old pensioner in a brutal  attack that left the victim with serious wounds. The 17-year-old punched and kicked the elderly Muslim man who was wearing traditional Muslim dress and on his way to Cowley Mill Road mosque.  The teenager first confronted the man, who suffers from a condition affecting the pigmentation of his skin, asking him: “Are you a white Muslim?”. The attack left the victim in hospital for 12 days. The man suffered a skull fracture and bruising to the brain which have affected his cognitive abilities and speech. The perpetrator was given eight years’ detention in a young offenders’ institution for inflicting grievous bodily harm with intent, at Isleworth Crown Court in December 2013. ",,,,2023
