"","fips","usps","cendiv","cenreg","year","shoot","adjshoot","prisoners","inc","unemp","divorced","highschool","veteran","legis_control","biennium","pop_all","urban_pct","black_pct","hisp_pct","elder_pct","under25_pct","gun_murder_rate","police_emp","hunters","laws","bills","laws_tighten","laws_loosen","demleg","repgov","repleg","splleg","had_reg_session","fatal","adjfatal","pc_fatal","news","fatalXdemleg","shootXdemleg","fatalXrepleg","shootXrepleg","fatalXsplleg","shootXsplleg","handgun_wait","longgun_wait","transaction_age","possess_age","buysell_atleast18","buysell_atleast21","possess_atleast18","possess_atleast21","handgun_permit","bgcheck_none","bgcheck_handgun","bgcheck_all","assault_ban_any","magban","ccw_none","ccw_shall","ccw_may","ccw_ban","pct_0to14","pct_15to17","pct_18to24","pct_25to34","all_gun_acc","all_gun_hom","all_gun_sui","all_gun_unk","all_sui","cook"
"608",28,"MS",6,3,1998,0,1,5.62890378670718,13.9717,5.26923084259033,13.4462909698486,77.296501159668,11.3425693511963,1,1,2751335,23.9202970542373,36.4205013202682,0.828652272442287,12.204039130095,38.4017576921749,8.08666338212762,2.89750248515721,89.8781864076894,1,10,0,0,1,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,22.5993404388428,4.98592805862427,10.9612903594971,13.7397432327271,18,227,241,6,329,73.2522796352584
"609",28,"MS",6,3,1999,0,0,6.30711556917004,14.032,5.11538457870483,14.5069208145142,78.0396270751953,10.4250450134277,1,0,2768619,23.9111106462908,36.4880830479022,0.86595519282357,12.1176658832436,38.1178125267507,7.56609371773803,2.73927181746568,90.3103677320715,0,15,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,22.5753498077393,4.84862852096558,10.9567289352417,13.523473739624,41,214,244,10,304,80.2631578947368
"610",28,"MS",6,3,2000,0,1,6.7561850655449,14.2262,5.37692308425903,13.9293508529663,80.3322372436523,11.9209356307983,1,1,2848353,23.9019242383443,36.4330895784336,1.40544377750932,12.0777867069145,38.1570332048029,7.52287269682331,2.67452805182504,88.4858723620282,3,26,1,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,22.424222946167,4.76176929473877,10.9710416793823,13.3446245193481,26,214,220,8,294,74.8299319727891
"611",28,"MS",6,3,2001,0,0,7.30811210959434,14.6119,5.53076934814453,12.9081878662109,81.7499008178711,11.3252611160278,1,0,2852994,24.2735787074903,36.4580156845756,1.54812803672212,12.0772073127388,38.0183414335957,7.8514010194203,2.89345158104083,87.524193881936,2,24,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,22.2652759552002,4.66846418380737,11.0846014022827,13.1252288818359,22,224,239,12,328,72.8658536585366
"612",28,"MS",6,3,2002,0,0,7.7245414930872,14.6438,6.62307691574097,13.8111133575439,79.1316299438477,9.34725761413574,1,1,2858681,24.6452331766362,36.4612560827878,1.67643748987732,12.0824953886075,37.7937937111556,7.27608292075961,2.93177168071569,87.3098467440054,1,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,22.0981636047363,4.5976448059082,11.0979852676392,13.0187664031982,21,208,254,4,343,74.0524781341108
"613",28,"MS",6,3,2003,1,1,7.54694747293879,14.825,6.3230767250061,12.7767772674561,81.1588973999023,9.53239917755127,1,0,2868312,25.0168876457822,36.4756344498088,1.80653290158114,12.1300263011834,37.5784782129699,7.00760586714416,2.7305258284315,82.0855611244523,0,7,0,0,1,0,0,0,1,6,4,0.20918226469087,0.186111111111111,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,21.9646949768066,4.51244497299194,11.1013374328613,12.939248085022,23,201,247,3,336,73.5119047619048
"614",28,"MS",6,3,2004,0,0,7.04116635110297,15.1969,6.1538462638855,13.1116943359375,82.9956436157227,10.5751438140869,1,1,2889010,25.3885421149281,36.4975891395322,1.92917296928706,12.1605671146863,37.3475688903811,6.99201456554321,3.06990976147538,86.393262743985,2,10,1,0,1,1,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,21.8213844299316,4.49939584732056,11.0267877578735,12.9196510314941,18,202,245,2,350,70
"615",28,"MS",6,3,2005,0,0,6.89208287980872,15.6038,7.4769229888916,11.4854860305786,79.8236999511719,11.2015399932861,1,0,2905943,25.760196584074,36.5256648186148,2.08479657033878,12.2576045022218,36.9659349822072,6.02214152170225,2.92572841242929,81.0225802777274,0,9,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,21.5935764312744,4.5896635055542,10.7826957702637,12.9202814102173,20,175,251,7,363,69.1460055096419
"616",28,"MS",6,3,2006,0,1,6.84583497706351,15.7889,6.53846168518066,12.8392190933228,81.1343307495117,11.0292625427246,1,1,2904978,26.1318510532201,36.8607955034427,2.21805466340881,12.3304548261639,36.5946316977271,7.64205443208176,3.16697751239424,80.8257411932207,2,14,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,21.4119701385498,4.64640331268311,10.5362586975098,12.8677396774292,20,222,219,8,325,67.3846153846154
"617",28,"MS",6,3,2007,0,0,7.17776222104598,16.1632,6.09230756759644,12.5922603607178,78.9793472290039,11.3704242706299,2,0,2928350,26.503505522366,36.9534379428689,2.39267847081121,12.3945566616012,36.3841412399474,7.47861423668619,2.95422336810832,80.6143391329588,2,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,1,0,0,1,0,0,0,0,0,1,0,0,21.3619613647461,4.63120889663696,10.3909711837769,12.9061412811279,28,219,279,9,396,70.4545454545455
