"","Duration","Treatment","VideoTime","VoteProbability","NewsDays","BidenNominee","TrumpNominee","StemMajor","HumanitiesMajor","ParentsInfluence","HSGPA","Ideology","Class","TrumpCharges"
"177",9641,0,306.591,2,1,FALSE,FALSE,FALSE,TRUE,2,3,4,2,6
"178",14,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"179",36,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"180",4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"181",625,1,82.143,4,3,TRUE,FALSE,FALSE,TRUE,4,5,5,1,6
"182",28,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"183",183671,1,247.724,5,1,TRUE,TRUE,FALSE,FALSE,3,5,4,2,9
"184",15,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"185",12,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"186",89575,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"187",394,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"188",198,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"189",186,0,32.441,5,3,TRUE,FALSE,FALSE,TRUE,2,5,5,1,6
"190",374,0,175.668,5,NA,TRUE,TRUE,FALSE,FALSE,4,5,5,2,5
"191",956,1,539.185,5,1,TRUE,TRUE,TRUE,FALSE,4,5,2,1,6
"192",2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"193",38571,1,1.738,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"194",18,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"195",40,1,4.785,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"196",218,0,72.541,5,3,TRUE,TRUE,FALSE,TRUE,3,5,5,2,6
"197",524,1,75.128,5,1,TRUE,TRUE,FALSE,FALSE,3,5,4,3,5
"198",306,1,135.218,5,0,FALSE,FALSE,FALSE,TRUE,2,5,4,2,5
"199",156266,0,87.479,5,3,TRUE,TRUE,FALSE,FALSE,2,5,5,2,7
"200",44,1,0,2,3,FALSE,FALSE,FALSE,FALSE,3,5,NA,NA,5
"201",253,1,139.016,5,2,TRUE,TRUE,TRUE,FALSE,3,5,4,2,5
"202",262,0,132.993,5,NA,TRUE,TRUE,TRUE,FALSE,2,5,4,2,6
"203",271,0,139.741,5,2,TRUE,TRUE,TRUE,FALSE,3,5,5,3,5
"204",291,1,98.648,5,3,TRUE,TRUE,TRUE,FALSE,3,5,5,2,6
"205",381,0,1.809,1,4,TRUE,TRUE,TRUE,FALSE,3,5,4,3,5
"206",73427,1,0,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"207",516206,1,0,5,3,TRUE,TRUE,TRUE,FALSE,3,5,4,2,4
"208",167,0,1.924,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"209",531,0,347.005,1,1,FALSE,FALSE,TRUE,FALSE,2,5,4,1,5
"210",448,1,65.816,1,2,TRUE,TRUE,FALSE,FALSE,3,4,5,2,4
"211",71,1,9.154,2,3,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5
"212",647,0,149.02,4,1,FALSE,TRUE,TRUE,FALSE,3,5,4,2,5
"213",105,1,0,2,4,TRUE,TRUE,TRUE,FALSE,1,5,4,2,4
